
 ################################################## 
TRAIN 	on Dataset: FVC1 	tag: 16-like-15-on-db1 
Data Prepared:
 	TRAIN:185760
 	VALID:560
 	TEST:560
1 	Train(L=0.693  | A=0.501) 	Valid(L=0.693  | A=0.500) 	Test(L=0.693  | A=0.500) 	> Best
2 	Train(L=0.693  | A=0.500) 	Valid(L=0.693  | A=0.500) 	Test(L=0.693  | A=0.500) 
3 	Train(L=0.693  | A=0.500) 	Valid(L=0.693  | A=0.500) 	Test(L=0.693  | A=0.500) 
4 	Train(L=0.693  | A=0.501) 	Valid(L=0.693  | A=0.500) 	Test(L=0.693  | A=0.500) 	> Best
5 	Train(L=0.693  | A=0.499) 	Valid(L=0.693  | A=0.500) 	Test(L=0.693  | A=0.500) 
6 	Train(L=0.693  | A=0.506) 	Valid(L=0.684  | A=0.575) 	Test(L=0.685  | A=0.564) 	> Best
7 	Train(L=0.668  | A=0.579) 	Valid(L=0.694  | A=0.573) 	Test(L=0.654  | A=0.598) 
8 	Train(L=0.600  | A=0.668) 	Valid(L=0.689  | A=0.611) 	Test(L=0.610  | A=0.675) 
9 	Train(L=0.529  | A=0.740) 	Valid(L=0.856  | A=0.536) 	Test(L=0.627  | A=0.688) 
10 	Train(L=0.478  | A=0.780) 	Valid(L=0.895  | A=0.529) 	Test(L=0.685  | A=0.641) 
11 	Train(L=0.434  | A=0.809) 	Valid(L=1.083  | A=0.516) 	Test(L=0.671  | A=0.671) 
12 	Train(L=0.389  | A=0.833) 	Valid(L=1.199  | A=0.543) 	Test(L=0.694  | A=0.668) 
13 	Train(L=0.345  | A=0.856) 	Valid(L=1.183  | A=0.545) 	Test(L=0.705  | A=0.668) 
14 	Train(L=0.308  | A=0.876) 	Valid(L=1.250  | A=0.541) 	Test(L=0.705  | A=0.684) 
15 	Train(L=0.271  | A=0.895) 	Valid(L=1.443  | A=0.555) 	Test(L=0.666  | A=0.704) 
16 	Train(L=0.239  | A=0.911) 	Valid(L=1.555  | A=0.562) 	Test(L=0.676  | A=0.696) 
17 	Train(L=0.211  | A=0.924) 	Valid(L=1.760  | A=0.557) 	Test(L=0.682  | A=0.702) 
18 	Train(L=0.184  | A=0.935) 	Valid(L=1.746  | A=0.537) 	Test(L=0.781  | A=0.689) 
19 	Train(L=0.163  | A=0.943) 	Valid(L=1.867  | A=0.555) 	Test(L=0.739  | A=0.704) 
20 	Train(L=0.142  | A=0.952) 	Valid(L=1.935  | A=0.550) 	Test(L=0.771  | A=0.720) 
21 	Train(L=0.124  | A=0.958) 	Valid(L=2.043  | A=0.527) 	Test(L=0.827  | A=0.707) 
22 	Train(L=0.109  | A=0.964) 	Valid(L=2.039  | A=0.536) 	Test(L=0.920  | A=0.696) 
23 	Train(L=0.096  | A=0.968) 	Valid(L=2.200  | A=0.555) 	Test(L=0.928  | A=0.682) 
24 	Train(L=0.083  | A=0.973) 	Valid(L=2.365  | A=0.505) 	Test(L=0.907  | A=0.693) 
25 	Train(L=0.072  | A=0.977) 	Valid(L=2.529  | A=0.496) 	Test(L=1.007  | A=0.696) 
26 	Train(L=0.064  | A=0.980) 	Valid(L=2.435  | A=0.530) 	Test(L=1.119  | A=0.686) 
27 	Train(L=0.054  | A=0.983) 	Valid(L=2.644  | A=0.514) 	Test(L=1.174  | A=0.677) 
28 	Train(L=0.047  | A=0.985) 	Valid(L=2.809  | A=0.493) 	Test(L=1.155  | A=0.686) 
29 	Train(L=0.040  | A=0.988) 	Valid(L=2.734  | A=0.514) 	Test(L=1.287  | A=0.684) 
30 	Train(L=0.036  | A=0.989) 	Valid(L=3.067  | A=0.487) 	Test(L=1.234  | A=0.689) 
31 	Train(L=0.031  | A=0.991) 	Valid(L=3.067  | A=0.505) 	Test(L=1.326  | A=0.682) 
32 	Train(L=0.025  | A=0.993) 	Valid(L=3.260  | A=0.518) 	Test(L=1.434  | A=0.675) 
33 	Train(L=0.021  | A=0.994) 	Valid(L=3.555  | A=0.504) 	Test(L=1.395  | A=0.689) 
34 	Train(L=0.018  | A=0.995) 	Valid(L=3.455  | A=0.520) 	Test(L=1.532  | A=0.691) 
35 	Train(L=0.015  | A=0.996) 	Valid(L=3.714  | A=0.520) 	Test(L=1.616  | A=0.682) 
36 	Train(L=0.013  | A=0.996) 	Valid(L=4.017  | A=0.500) 	Test(L=1.517  | A=0.707) 
37 	Train(L=0.013  | A=0.997) 	Valid(L=4.072  | A=0.484) 	Test(L=1.459  | A=0.698) 
38 	Train(L=0.010  | A=0.998) 	Valid(L=4.283  | A=0.484) 	Test(L=1.678  | A=0.682) 
39 	Train(L=0.011  | A=0.997) 	Valid(L=4.180  | A=0.480) 	Test(L=1.691  | A=0.679) 
40 	Train(L=0.007  | A=0.998) 	Valid(L=4.260  | A=0.498) 	Test(L=1.741  | A=0.682) 
41 	Train(L=0.006  | A=0.999) 	Valid(L=4.698  | A=0.500) 	Test(L=1.692  | A=0.695) 
42 	Train(L=0.009  | A=0.998) 	Valid(L=4.415  | A=0.489) 	Test(L=1.734  | A=0.709) 
43 	Train(L=0.006  | A=0.999) 	Valid(L=4.405  | A=0.504) 	Test(L=1.888  | A=0.691) 
44 	Train(L=0.004  | A=0.999) 	Valid(L=4.609  | A=0.498) 	Test(L=1.925  | A=0.688) 
45 	Train(L=0.005  | A=0.999) 	Valid(L=4.610  | A=0.512) 	Test(L=2.080  | A=0.659) 
46 	Train(L=0.004  | A=0.999) 	Valid(L=4.840  | A=0.505) 	Test(L=1.963  | A=0.682) 
47 	Train(L=0.003  | A=0.999) 	Valid(L=4.668  | A=0.502) 	Test(L=2.081  | A=0.702) 
48 	Train(L=0.016  | A=0.996) 	Valid(L=4.249  | A=0.502) 	Test(L=1.706  | A=0.696) 
49 	Train(L=0.003  | A=0.999) 	Valid(L=4.885  | A=0.487) 	Test(L=1.859  | A=0.695) 
50 	Train(L=0.002  | A=1.000) 	Valid(L=5.085  | A=0.504) 	Test(L=1.886  | A=0.696) 
51 	Train(L=0.002  | A=1.000) 	Valid(L=5.268  | A=0.498) 	Test(L=1.961  | A=0.695) 
52 	Train(L=0.002  | A=0.999) 	Valid(L=4.982  | A=0.504) 	Test(L=2.150  | A=0.693) 
53 	Train(L=0.015  | A=0.997) 	Valid(L=3.978  | A=0.512) 	Test(L=1.700  | A=0.695) 
54 	Train(L=0.002  | A=1.000) 	Valid(L=4.764  | A=0.489) 	Test(L=1.953  | A=0.677) 
55 	Train(L=0.002  | A=1.000) 	Valid(L=4.976  | A=0.496) 	Test(L=1.901  | A=0.688) 
56 	Train(L=0.001  | A=1.000) 	Valid(L=4.935  | A=0.491) 	Test(L=2.080  | A=0.688) 
57 	Train(L=0.002  | A=1.000) 	Valid(L=4.969  | A=0.491) 	Test(L=2.121  | A=0.695) 
58 	Train(L=0.001  | A=1.000) 	Valid(L=5.251  | A=0.500) 	Test(L=1.993  | A=0.705) 
59 	Train(L=0.009  | A=0.998) 	Valid(L=4.630  | A=0.505) 	Test(L=1.928  | A=0.691) 
60 	Train(L=0.001  | A=1.000) 	Valid(L=5.236  | A=0.498) 	Test(L=2.030  | A=0.691) 
61 	Train(L=0.001  | A=1.000) 	Valid(L=5.360  | A=0.484) 	Test(L=2.171  | A=0.689) 
62 	Train(L=0.001  | A=1.000) 	Valid(L=5.368  | A=0.495) 	Test(L=2.096  | A=0.679) 
63 	Train(L=0.001  | A=1.000) 	Valid(L=5.480  | A=0.495) 	Test(L=2.208  | A=0.686) 
64 	Train(L=0.010  | A=0.998) 	Valid(L=4.998  | A=0.487) 	Test(L=2.070  | A=0.704) 
65 	Train(L=0.001  | A=1.000) 	Valid(L=5.465  | A=0.486) 	Test(L=2.070  | A=0.680) 
66 	Train(L=0.001  | A=1.000) 	Valid(L=5.377  | A=0.482) 	Test(L=2.181  | A=0.677) 
67 	Train(L=0.001  | A=1.000) 	Valid(L=5.289  | A=0.507) 	Test(L=2.233  | A=0.682) 
68 	Train(L=0.001  | A=1.000) 	Valid(L=5.404  | A=0.496) 	Test(L=2.569  | A=0.700) 
69 	Train(L=0.002  | A=1.000) 	Valid(L=5.907  | A=0.482) 	Test(L=2.102  | A=0.702) 
70 	Train(L=0.020  | A=0.996) 	Valid(L=4.241  | A=0.512) 	Test(L=1.733  | A=0.682) 
71 	Train(L=0.002  | A=1.000) 	Valid(L=4.817  | A=0.502) 	Test(L=1.901  | A=0.677) 
72 	Train(L=0.001  | A=1.000) 	Valid(L=5.076  | A=0.493) 	Test(L=2.039  | A=0.688) 
73 	Train(L=0.001  | A=1.000) 	Valid(L=5.271  | A=0.489) 	Test(L=2.074  | A=0.691) 
74 	Train(L=0.001  | A=1.000) 	Valid(L=5.408  | A=0.500) 	Test(L=2.094  | A=0.695) 
75 	Train(L=0.001  | A=1.000) 	Valid(L=5.634  | A=0.487) 	Test(L=2.337  | A=0.682) 
76 	Train(L=0.001  | A=1.000) 	Valid(L=5.455  | A=0.507) 	Test(L=2.320  | A=0.696) 
