
 ################################################## 
TRAIN 9-db3-clean-data 
Data Prepared:
 	TRAIN:10080
 	VALID:560
 	TEST:560
1 	train loss=0.715 	train acc=0.496 	valid loss=0.723 	valid acc=0.475 	> saved as best model!
2 	train loss=0.708 	train acc=0.504 	valid loss=0.708 	valid acc=0.505 	> saved as best model!
3 	train loss=0.713 	train acc=0.488 	valid loss=0.705 	valid acc=0.489 	> saved as best model!
4 	train loss=0.706 	train acc=0.504 	valid loss=0.702 	valid acc=0.520 	> saved as best model!
5 	train loss=0.708 	train acc=0.499 	valid loss=0.712 	valid acc=0.493 
6 	train loss=0.705 	train acc=0.499 	valid loss=0.700 	valid acc=0.498 	> saved as best model!
7 	train loss=0.704 	train acc=0.497 	valid loss=0.697 	valid acc=0.495 	> saved as best model!
8 	train loss=0.702 	train acc=0.504 	valid loss=0.695 	valid acc=0.527 	> saved as best model!
9 	train loss=0.700 	train acc=0.503 	valid loss=0.694 	valid acc=0.527 	> saved as best model!
10 	train loss=0.699 	train acc=0.500 	valid loss=0.699 	valid acc=0.512 
11 	train loss=0.699 	train acc=0.498 	valid loss=0.701 	valid acc=0.471 
12 	train loss=0.697 	train acc=0.500 	valid loss=0.697 	valid acc=0.514 
13 	train loss=0.698 	train acc=0.489 	valid loss=0.693 	valid acc=0.507 	> saved as best model!
14 	train loss=0.696 	train acc=0.506 	valid loss=0.696 	valid acc=0.498 
15 	train loss=0.698 	train acc=0.493 	valid loss=0.699 	valid acc=0.466 
16 	train loss=0.695 	train acc=0.502 	valid loss=0.701 	valid acc=0.466 
17 	train loss=0.696 	train acc=0.497 	valid loss=0.696 	valid acc=0.511 
18 	train loss=0.695 	train acc=0.502 	valid loss=0.698 	valid acc=0.470 
19 	train loss=0.695 	train acc=0.499 	valid loss=0.696 	valid acc=0.495 
20 	train loss=0.695 	train acc=0.502 	valid loss=0.695 	valid acc=0.459 
21 	train loss=0.695 	train acc=0.500 	valid loss=0.692 	valid acc=0.509 	> saved as best model!
22 	train loss=0.695 	train acc=0.503 	valid loss=0.692 	valid acc=0.521 	> saved as best model!
23 	train loss=0.695 	train acc=0.503 	valid loss=0.695 	valid acc=0.491 
24 	train loss=0.695 	train acc=0.499 	valid loss=0.691 	valid acc=0.536 	> saved as best model!
25 	train loss=0.694 	train acc=0.499 	valid loss=0.697 	valid acc=0.477 
26 	train loss=0.694 	train acc=0.504 	valid loss=0.695 	valid acc=0.473 
27 	train loss=0.695 	train acc=0.497 	valid loss=0.697 	valid acc=0.480 
28 	train loss=0.695 	train acc=0.501 	valid loss=0.694 	valid acc=0.512 
29 	train loss=0.695 	train acc=0.501 	valid loss=0.695 	valid acc=0.486 
30 	train loss=0.694 	train acc=0.500 	valid loss=0.695 	valid acc=0.480 
31 	train loss=0.694 	train acc=0.501 	valid loss=0.694 	valid acc=0.502 
32 	train loss=0.694 	train acc=0.502 	valid loss=0.698 	valid acc=0.454 
